title,category,slug,isco_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs,employment_year,outlook_pct,outlook_desc,outlook_source,exposure,exposure_rationale,url
12 Administrative and commercial managers (Level 2),1,12-administrative-and-commercial-managers-level-2,12,94248,wages_statfin,,,,,26399,2023,,,,7,"Administrative and commercial managers perform predominantly knowledge-based work involving data analysis, strategic planning, and communication, all of which are highly susceptible to AI augmentation. While the role requires human judgment and leadership, AI tools are rapidly automating the information-processing and reporting tasks that constitute a significant portion of their daily responsibilities.",
121 Business services and administration managers (Level 3),1,121-business-services-and-administration-managers-level-3,121,97152,wages_statfin,,,,,12537,2023,,,,7,"This role involves high-level knowledge work, including strategic planning, resource allocation, and administrative oversight, which are increasingly supported by AI-driven analytics and decision-support tools. While the job requires human judgment and leadership, the core tasks of processing information, drafting reports, and managing workflows are highly susceptible to automation and AI-assisted productivity gains.",
1211 Finance managers (Level 4),1,1211-finance-managers-level-4,1211,98268,wages_statfin,,Bachelor's degree,3-5 years,None,3857,2023,8,Good prospects,extras_csv,8,"Finance management is a highly digital, knowledge-intensive role centered on data analysis, reporting, and strategic planning, all of which are core domains for AI advancement. While the role requires high-level human judgment and leadership, AI tools are rapidly automating the underlying financial modeling, forecasting, and compliance tasks, leading to significant restructuring of the profession.",
1211. Finance managers (Level 5),1,1211-finance-managers-level-5,1211.,98268,wages_statfin,,Bachelor's degree,3-5 years,None,3857,2023,8,Good prospects,extras_csv,8,"Finance management is a highly digital, knowledge-intensive role centered on data analysis, reporting, and strategic planning, all of which are core domains for AI advancement. While the role requires high-level human judgment and leadership, AI tools are rapidly automating the underlying financial modeling, forecasting, and compliance tasks, leading to significant restructuring of the profession.",
1212 Human resource managers (Level 4),1,1212-human-resource-managers-level-4,1212,98736,wages_statfin,,Bachelor's degree,3-5 years,None,1553,2023,8,Good prospects,extras_csv,7,"Human resource management is predominantly knowledge-based, involving significant amounts of data analysis, communication, and document processing that are highly susceptible to AI automation. While the role requires human judgment for complex interpersonal conflicts and strategic decision-making, AI tools are rapidly transforming core tasks like recruitment screening, policy drafting, and performance analytics.",
1212. Human resource managers (Level 5),1,1212-human-resource-managers-level-5,1212.,98736,wages_statfin,,Bachelor's degree,3-5 years,None,1553,2023,8,Good prospects,extras_csv,7,"Human resource management is predominantly knowledge-based, involving significant amounts of data analysis, communication, and document processing that are highly susceptible to AI automation. While the role requires human judgment for complex interpersonal conflicts and strategic decision-making, AI tools are rapidly transforming core tasks like recruitment screening, policy drafting, and performance analytics.",
1213 Policy and planning managers (Level 4),1,1213-policy-and-planning-managers-level-4,1213,97176,wages_statfin,,Bachelor's degree,3-5 years,None,2589,2023,7,Good prospects,extras_csv,7,"Policy and planning managers perform high-level knowledge work involving complex analysis, report writing, and strategic communication, all of which are increasingly supported by generative AI. While the role requires significant human judgment, stakeholder management, and political navigation, the core information-processing tasks are highly susceptible to AI-driven productivity gains and restructuring.",
1213. Policy and planning managers (Level 5),1,1213-policy-and-planning-managers-level-5,1213.,97176,wages_statfin,,Bachelor's degree,3-5 years,None,2589,2023,7,Good prospects,extras_csv,7,"Policy and planning managers perform high-level knowledge work involving complex analysis, report writing, and strategic communication, all of which are increasingly supported by generative AI. While the role requires significant human judgment, stakeholder management, and political navigation, the core information-processing tasks are highly susceptible to AI-driven productivity gains and restructuring.",
1219 Business services and administration managers not elsewhere classified (Level 4),1,1219-business-services-and-administration-managers-not-elsewhere-classified-level-4,1219,95532,wages_statfin,,Bachelor's degree,3-5 years,None,4538,2023,6,Moderate prospects,extras_csv,7,"This role involves high-level administrative oversight, strategic planning, and complex decision-making, which are increasingly supported by AI-driven analytics and automation tools. While the job requires human judgment and interpersonal leadership, the core tasks of processing business information, reporting, and resource management are highly susceptible to AI-enabled productivity gains.",
1219. Business services and administration managers not elsewhere classified (Level 5),1,1219-business-services-and-administration-managers-not-elsewhere-classified-level-5,1219.,95532,wages_statfin,,Bachelor's degree,3-5 years,None,4538,2023,6,Moderate prospects,extras_csv,7,"This role involves high-level administrative oversight, strategic planning, and complex decision-making, which are increasingly supported by AI-driven analytics and automation tools. While the job requires human judgment and interpersonal leadership, the core tasks of processing business information, reporting, and resource management are highly susceptible to AI-enabled productivity gains.",
"122 Sales, marketing and development managers (Level 3)",1,122-sales-marketing-and-development-managers-level-3,122,91872,wages_statfin,,,,,13862,2023,,,,7,"This role involves high-level knowledge work, strategic planning, and data analysis, all of which are increasingly supported by AI tools for market forecasting and content generation. While the job requires significant human judgment, relationship management, and leadership, the core analytical and administrative tasks are highly susceptible to AI-driven productivity gains.",
1221 Sales and marketing managers (Level 4),1,1221-sales-and-marketing-managers-level-4,1221,91176,wages_statfin,,Bachelor's degree,3-5 years,None,7734,2023,8,Good prospects,extras_csv,7,"This role involves high-level knowledge work, strategic planning, and data analysis, all of which are increasingly supported by AI tools for market forecasting and content generation. While the job requires significant human judgment, relationship management, and leadership, the core analytical and administrative tasks are highly susceptible to AI-driven productivity gains.",
1221. Sales and marketing managers (Level 5),1,1221-sales-and-marketing-managers-level-5,1221.,91176,wages_statfin,,Bachelor's degree,3-5 years,None,7734,2023,8,Good prospects,extras_csv,7,"This role involves high-level knowledge work, strategic planning, and data analysis, all of which are increasingly supported by AI tools for market forecasting and content generation. While the job requires significant human judgment, relationship management, and leadership, the core analytical and administrative tasks are highly susceptible to AI-driven productivity gains.",
1222 Advertising and public relations managers (Level 4),1,1222-advertising-and-public-relations-managers-level-4,1222,90240,wages_statfin,,Bachelor's degree,3-5 years,None,1132,2023,7,Good prospects,extras_csv,7,"Advertising and public relations management is primarily knowledge-based work involving strategy, content creation, and data analysis, all of which are highly susceptible to AI-driven automation and augmentation. While the role requires human judgment, relationship management, and creative oversight, the core tasks of campaign planning and performance analysis are increasingly being reshaped by generative AI tools.",
1222. Advertising and public relations managers (Level 5),1,1222-advertising-and-public-relations-managers-level-5,1222.,90240,wages_statfin,,Bachelor's degree,3-5 years,None,1132,2023,7,Good prospects,extras_csv,7,"Advertising and public relations management is primarily knowledge-based work involving strategy, content creation, and data analysis, all of which are highly susceptible to AI-driven automation and augmentation. While the role requires human judgment, relationship management, and creative oversight, the core tasks of campaign planning and performance analysis are increasingly being reshaped by generative AI tools.",
1223 Research and development managers (Level 4),1,1223-research-and-development-managers-level-4,1223,93216,wages_statfin,,Bachelor's degree,3-5 years,None,4996,2023,7,Good prospects,extras_csv,7,"Research and development management is primarily knowledge-based, involving data analysis, strategic planning, and technical communication, all of which are highly susceptible to AI augmentation. While the role requires high-level human judgment and leadership, AI tools are increasingly capable of accelerating research synthesis, project management, and technical documentation, significantly reshaping the workflow.",
1223. Research and development managers (Level 5),1,1223-research-and-development-managers-level-5,1223.,93216,wages_statfin,,Bachelor's degree,3-5 years,None,4996,2023,7,Good prospects,extras_csv,7,"Research and development management is primarily knowledge-based, involving data analysis, strategic planning, and technical communication, all of which are highly susceptible to AI augmentation. While the role requires high-level human judgment and leadership, AI tools are increasingly capable of accelerating research synthesis, project management, and technical documentation, significantly reshaping the workflow.",
13 Production and specialised services managers (Level 2),1,13-production-and-specialised-services-managers-level-2,13,82104,wages_statfin,,,,,38478,2023,,,,6,"As managers, these professionals primarily engage in knowledge work, decision-making, and communication, which are increasingly supported by AI tools for data analysis, reporting, and strategic planning. While their role requires human judgment, leadership, and interpersonal coordination that AI cannot replace, their core tasks are highly susceptible to augmentation and efficiency gains through AI-driven management systems.",
"131 Production managers in agriculture, forestry and fisheries (Level 3)",1,131-production-managers-in-agriculture-forestry-and-fisheries-level-3,131,88104,wages_statfin,,,,,1226,2023,,,,4,"This role involves a significant amount of physical oversight, site-specific decision-making, and management of biological processes that are difficult to fully automate. While AI can assist with data-driven planning, resource optimization, and administrative tasks, the core of the job requires physical presence and real-time human judgment in unpredictable natural environments.",
1311 Agricultural and forestry production managers (Level 4),1,1311-agricultural-and-forestry-production-managers-level-4,1311,,,,Bachelor's degree,2-4 years,None,1211,2023,8,Good prospects,extras_csv,4,"This role involves a mix of strategic knowledge work, such as planning and resource management, and physical oversight of agricultural operations. While AI can optimize crop management and logistics, the core requirement for on-site physical presence and real-time decision-making in unpredictable natural environments limits the extent of automation.",
1311. Agricultural and forestry production managers (Level 5),1,1311-agricultural-and-forestry-production-managers-level-5,1311.,,,,Bachelor's degree,2-4 years,None,1211,2023,8,Good prospects,extras_csv,4,"This role involves a mix of strategic knowledge work, such as planning and resource management, and physical oversight of agricultural operations. While AI can optimize crop management and logistics, the core requirement for on-site physical presence and real-time decision-making in unpredictable natural environments limits the extent of automation.",
1312 Aquaculture and fisheries production managers (Level 4),1,1312-aquaculture-and-fisheries-production-managers-level-4,1312,,,,Bachelor's degree,2-4 years,None,15,2023,7,Good prospects,extras_csv,4,"This role involves significant physical management of aquaculture sites and biological systems, which limits AI's ability to automate core tasks. While AI can optimize data-driven aspects like water quality monitoring, feeding schedules, and inventory management, the job requires substantial on-site presence and physical oversight.",
1312. Aquaculture and fisheries production managers (Level 5),1,1312-aquaculture-and-fisheries-production-managers-level-5,1312.,,,,Bachelor's degree,2-4 years,None,15,2023,7,Good prospects,extras_csv,4,"This role involves significant physical management of aquaculture sites and biological systems, which limits AI's ability to automate core tasks. While AI can optimize data-driven aspects like water quality monitoring, feeding schedules, and inventory management, the job requires substantial on-site presence and physical oversight.",
"132 Manufacturing, mining, construction, and distribution managers (Level 3)",1,132-manufacturing-mining-construction-and-distribution-managers-level-3,132,93192,wages_statfin,,,,,17504,2023,,,,6,"This role involves significant knowledge work, including strategic planning, resource allocation, and data-driven decision-making, which are increasingly supported by AI analytics and automation tools. However, the position also requires physical presence, complex human management, and coordination of real-world operations, which act as a buffer against full automation.",
1321 Manufacturing managers (Level 4),1,1321-manufacturing-managers-level-4,1321,96000,wages_statfin,,Bachelor's degree,2-4 years,None,6680,2023,8,Good prospects,extras_csv,6,"Manufacturing managers perform knowledge-intensive work involving planning, resource allocation, and data analysis, which are increasingly supported by AI-driven predictive maintenance and supply chain optimization tools. However, the role requires significant human judgment, on-site coordination, and interpersonal leadership that remains difficult for AI to fully automate.",
1321. Manufacturing managers (Level 5),1,1321-manufacturing-managers-level-5,1321.,96000,wages_statfin,,Bachelor's degree,2-4 years,None,6680,2023,8,Good prospects,extras_csv,6,"Manufacturing managers perform knowledge-intensive work involving planning, resource allocation, and data analysis, which are increasingly supported by AI-driven predictive maintenance and supply chain optimization tools. However, the role requires significant human judgment, on-site coordination, and interpersonal leadership that remains difficult for AI to fully automate.",
1322 Mining managers (Level 4),1,1322-mining-managers-level-4,1322,105000,wages_statfin,,Bachelor's degree,2-4 years,None,145,2023,7,Good prospects,extras_csv,5,"Mining management involves a mix of high-level strategic decision-making, on-site operational oversight, and safety management in physical environments. While AI can significantly optimize logistics, resource extraction, and predictive maintenance, the role requires substantial physical presence and complex human-in-the-loop judgment that remains difficult to fully automate.",
1322. Mining managers (Level 5),1,1322-mining-managers-level-5,1322.,105000,wages_statfin,,Bachelor's degree,2-4 years,None,145,2023,7,Good prospects,extras_csv,5,"Mining management involves a mix of high-level strategic decision-making, on-site operational oversight, and safety management in physical environments. While AI can significantly optimize logistics, resource extraction, and predictive maintenance, the role requires substantial physical presence and complex human-in-the-loop judgment that remains difficult to fully automate.",
1323 Construction managers (Level 4),1,1323-construction-managers-level-4,1323,88404,wages_statfin,,Bachelor's degree,2-4 years,None,7302,2023,6,Moderate prospects,extras_csv,6,"Construction management involves significant digital coordination, planning, and documentation, which are increasingly susceptible to AI-driven scheduling and optimization tools. However, the role requires substantial physical presence, on-site problem solving, and complex human coordination that acts as a significant buffer against full automation.",
1323. Construction managers (Level 5),1,1323-construction-managers-level-5,1323.,88404,wages_statfin,,Bachelor's degree,2-4 years,None,7302,2023,6,Moderate prospects,extras_csv,6,"Construction management involves significant digital coordination, planning, and documentation, which are increasingly susceptible to AI-driven scheduling and optimization tools. However, the role requires substantial physical presence, on-site problem solving, and complex human coordination that acts as a significant buffer against full automation.",
"1324 Supply, distribution and related managers (Level 4)",1,1324-supply-distribution-and-related-managers-level-4,1324,93312,wages_statfin,,Bachelor's degree,2-4 years,None,3377,2023,6,Moderate prospects,extras_csv,7,"This role involves significant knowledge work, including data analysis, logistics planning, and supply chain optimization, all of which are highly susceptible to AI-driven predictive modeling and automation. While the job requires human judgment for strategic decision-making and stakeholder management, the core analytical tasks are increasingly being handled by AI tools, leading to high potential for restructuring.",
"1324. Supply, distribution and related managers (Level 5)",1,1324-supply-distribution-and-related-managers-level-5,1324.,93312,wages_statfin,,Bachelor's degree,2-4 years,None,3377,2023,6,Moderate prospects,extras_csv,7,"This role involves significant knowledge work, including data analysis, logistics planning, and supply chain optimization, all of which are highly susceptible to AI-driven predictive modeling and automation. While the job requires human judgment for strategic decision-making and stakeholder management, the core analytical tasks are increasingly being handled by AI tools, leading to high potential for restructuring.",
133 Information and communications technology service managers (Level 3),1,133-information-and-communications-technology-service-managers-level-3,133,99996,wages_statfin,,,,,4012,2023,,,,8,"This role is almost entirely digital, involving the management of complex information systems and technical strategies that are increasingly subject to AI-driven automation and optimization. While human leadership and strategic decision-making remain necessary, the core tasks of monitoring, analyzing, and optimizing IT services are highly susceptible to AI integration.",
1330 Information and communications technology service managers (Level 4),1,1330-information-and-communications-technology-service-managers-level-4,1330,99996,wages_statfin,,Bachelor's degree,2-4 years,None,4012,2023,7,Good prospects,extras_csv,8,"This role is almost entirely digital, involving the management of complex information systems and technical strategies that are increasingly subject to AI-driven automation and optimization. While human leadership and strategic decision-making remain necessary, the core tasks of monitoring, analyzing, and optimizing IT services are highly susceptible to AI integration.",
1330. Information and communications technology service managers (Level 5),1,1330-information-and-communications-technology-service-managers-level-5,1330.,99996,wages_statfin,,Bachelor's degree,2-4 years,None,4012,2023,7,Good prospects,extras_csv,8,"This role is almost entirely digital, involving the management of complex information systems and technical strategies that are increasingly subject to AI-driven automation and optimization. While human leadership and strategic decision-making remain necessary, the core tasks of monitoring, analyzing, and optimizing IT services are highly susceptible to AI integration.",
134 Professional services managers (Level 3),1,134-professional-services-managers-level-3,134,71460,wages_statfin,,,,,15736,2023,,,,7,"Professional services managers primarily engage in knowledge-based work involving strategy, resource allocation, and communication, all of which are increasingly supported by AI tools. While the role requires human judgment and leadership, the core tasks of analyzing reports, drafting communications, and managing workflows are highly susceptible to AI-driven productivity gains and restructuring.",
1341 Child care services managers (Level 4),1,1341-child-care-services-managers-level-4,1341,50208,wages_statfin,,Bachelor's degree,2-4 years,None,2812,2023,7,Good prospects,extras_csv,4,"While this role involves administrative and digital tasks like scheduling, budgeting, and reporting that are susceptible to AI, the core of the job requires human-centric management, interpersonal communication, and physical oversight of childcare facilities. The necessity for real-time human judgment and emotional intelligence in a sensitive, regulated environment creates a significant barrier to full automation.",
1341. Child care services managers (Level 5),1,1341-child-care-services-managers-level-5,1341.,50208,wages_statfin,,Bachelor's degree,2-4 years,None,2812,2023,7,Good prospects,extras_csv,4,"While this role involves administrative and digital tasks like scheduling, budgeting, and reporting that are susceptible to AI, the core of the job requires human-centric management, interpersonal communication, and physical oversight of childcare facilities. The necessity for real-time human judgment and emotional intelligence in a sensitive, regulated environment creates a significant barrier to full automation.",
1342 Health services managers (Level 4),1,1342-health-services-managers-level-4,1342,92784,wages_statfin,,Bachelor's degree,2-4 years,None,1173,2023,6,Moderate prospects,extras_csv,6,"Health services managers perform predominantly knowledge-based work involving data analysis, reporting, and administrative coordination, which are highly susceptible to AI-driven productivity gains. However, the role requires significant human judgment, complex stakeholder management, and physical presence within healthcare environments, which limits the extent to which AI can fully automate the position.",
1342. Health services managers (Level 5),1,1342-health-services-managers-level-5,1342.,92784,wages_statfin,,Bachelor's degree,2-4 years,None,1173,2023,6,Moderate prospects,extras_csv,6,"Health services managers perform predominantly knowledge-based work involving data analysis, reporting, and administrative coordination, which are highly susceptible to AI-driven productivity gains. However, the role requires significant human judgment, complex stakeholder management, and physical presence within healthcare environments, which limits the extent to which AI can fully automate the position.",
1343 Aged care services managers (Level 4),1,1343-aged-care-services-managers-level-4,1343,51420,wages_statfin,,Bachelor's degree,2-4 years,None,650,2023,6,Moderate prospects,extras_csv,6,"While this role involves significant human interaction, leadership, and physical presence in care facilities, a large portion of the work involves administrative tasks, regulatory compliance, and resource management. These information-processing aspects are highly susceptible to AI-driven optimization, though the core requirement for human oversight and interpersonal management keeps the overall exposure at a moderate-to-high level.",
1343. Aged care services managers (Level 5),1,1343-aged-care-services-managers-level-5,1343.,51420,wages_statfin,,Bachelor's degree,2-4 years,None,650,2023,6,Moderate prospects,extras_csv,6,"While this role involves significant human interaction, leadership, and physical presence in care facilities, a large portion of the work involves administrative tasks, regulatory compliance, and resource management. These information-processing aspects are highly susceptible to AI-driven optimization, though the core requirement for human oversight and interpersonal management keeps the overall exposure at a moderate-to-high level.",
