title,category,slug,soc_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,outlook_source,employment_change,exposure,exposure_rationale,url
"11 Chief executives, senior officials and legislators (Level 2)",1,11-chief-executives-senior-officials-and-legislators-level-2,11,104976,wages_statfin,,,,,7212,,,,,,5,"The occupation is a hybrid of physical presence and objective data processing. While computer vision and AI can already automate 'calls' (like strike zones or out-of-bounds) with higher accuracy than humans, the role still requires physical presence to manage player conduct, ensure safety, and handle real-time interpersonal disputes on the field.",
111 Legislators and senior officials (Level 3),1,111-legislators-and-senior-officials-level-3,111,87240,wages_statfin,,,,,4173,,,,,,5,"The occupation is a hybrid of physical presence and objective data processing. While computer vision and AI can already automate 'calls' (like strike zones or out-of-bounds) with higher accuracy than humans, the role still requires physical presence to manage player conduct, ensure safety, and handle real-time interpersonal disputes on the field.",
1111 Legislators (Level 4),1,1111-legislators-level-4,1111,86016,wages_statfin,,Master's degree,5+ years,None,286,,5,Good prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1111. Legislators (Level 5),1,1111-legislators-level-5,1111.,86016,wages_statfin,,Master's degree,5+ years,None,286,,5,Good prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1112 Senior government officials (Level 4),1,1112-senior-government-officials-level-4,1112,96012,wages_statfin,,Master's degree,5+ years,None,1670,,5,Good prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
11121 Senior central government officials (Level 5),1,11121-senior-central-government-officials-level-5,11121,93756,wages_statfin,,Bachelor's degree,3-5 years,None,1107,,6,Moderate prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
11122 Senior district and local government officials and senior officials (Level 5),1,11122-senior-district-and-local-government-officials-and-senior-officials-level-5,11122,100644,wages_statfin,,Bachelor's degree,3-5 years,None,563,,6,Moderate prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1114 Senior officials of special-interest organizations (Level 4),1,1114-senior-officials-of-special-interest-organizations-level-4,1114,66552,wages_statfin,,Bachelor's degree,3-5 years,None,2217,,6,Moderate prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
"11141 Senior officials of employers', workers' and other economic-interest organisations (Level 5)",1,11141-senior-officials-of-employers-workers-and-other-economic-interest-organisations-level-5,11141,107688,wages_statfin,,Bachelor's degree,3-5 years,None,551,,6,Moderate prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
11142 Senior officials of humanitarian and other special-interest organisations (Level 5),1,11142-senior-officials-of-humanitarian-and-other-special-interest-organisations-level-5,11142,56724,wages_statfin,,Bachelor's degree,3-5 years,None,1666,,6,Moderate prospects,extras_csv,,8,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
112 Managing directors and chief executives (Level 3),1,112-managing-directors-and-chief-executives-level-3,112,147240,wages_statfin,,,,,3039,,,,,,7,"The occupation is a hybrid of high-exposure digital work (composing) and lower-exposure physical work (conducting). Generative AI is rapidly automating music composition, arrangement, and scoring for commercial media, while the music director role remains more resilient due to the need for live leadership, physical rehearsals, and human-to-human artistic interpretation.",
1120 Managing directors and chief executives (Level 4),1,1120-managing-directors-and-chief-executives-level-4,1120,147240,wages_statfin,,Master's degree,5+ years,None,3039,,10,Very good prospects,extras_csv,,7,"The occupation is a hybrid of high-exposure digital work (composing) and lower-exposure physical work (conducting). Generative AI is rapidly automating music composition, arrangement, and scoring for commercial media, while the music director role remains more resilient due to the need for live leadership, physical rehearsals, and human-to-human artistic interpretation.",
1120. Managing directors and chief executives (Level 5),1,1120-managing-directors-and-chief-executives-level-5,1120.,147240,wages_statfin,,Master's degree,5+ years,None,3039,,10,Very good prospects,extras_csv,,7,"The occupation is a hybrid of high-exposure digital work (composing) and lower-exposure physical work (conducting). Generative AI is rapidly automating music composition, arrangement, and scoring for commercial media, while the music director role remains more resilient due to the need for live leadership, physical rehearsals, and human-to-human artistic interpretation.",
12 Administrative and commercial managers (Level 2),1,12-administrative-and-commercial-managers-level-2,12,94044,wages_statfin,,,,,26399,,,,,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
121 Business services and administration managers (Level 3),1,121-business-services-and-administration-managers-level-3,121,96720,wages_statfin,,,,,12537,,,,,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
1211 Finance managers (Level 4),1,1211-finance-managers-level-4,1211,97776,wages_statfin,,Bachelor's degree,3-5 years,None,3857,,8,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1211. Finance managers (Level 5),1,1211-finance-managers-level-5,1211.,97776,wages_statfin,,Bachelor's degree,3-5 years,None,3857,,8,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1212 Human resource managers (Level 4),1,1212-human-resource-managers-level-4,1212,98640,wages_statfin,,Bachelor's degree,3-5 years,None,1553,,8,Good prospects,extras_csv,,7,"Human resources management is a digital-heavy knowledge occupation where AI can significantly automate recruitment screening, payroll processing, and regulatory compliance reporting. While the role requires high-level interpersonal skills for dispute mediation and strategic leadership, the vast majority of the administrative and analytical tasks are highly susceptible to AI-driven productivity gains and restructuring.",
1212. Human resource managers (Level 5),1,1212-human-resource-managers-level-5,1212.,98640,wages_statfin,,Bachelor's degree,3-5 years,None,1553,,8,Good prospects,extras_csv,,7,"Human resources management is a digital-heavy knowledge occupation where AI can significantly automate recruitment screening, payroll processing, and regulatory compliance reporting. While the role requires high-level interpersonal skills for dispute mediation and strategic leadership, the vast majority of the administrative and analytical tasks are highly susceptible to AI-driven productivity gains and restructuring.",
1213 Policy and planning managers (Level 4),1,1213-policy-and-planning-managers-level-4,1213,96912,wages_statfin,,Bachelor's degree,3-5 years,None,2589,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1213. Policy and planning managers (Level 5),1,1213-policy-and-planning-managers-level-5,1213.,96912,wages_statfin,,Bachelor's degree,3-5 years,None,2589,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1219 Business services and administration managers not elsewhere classified (Level 4),1,1219-business-services-and-administration-managers-not-elsewhere-classified-level-4,1219,95196,wages_statfin,,Bachelor's degree,3-5 years,None,4538,,6,Moderate prospects,extras_csv,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
1219. Business services and administration managers not elsewhere classified (Level 5),1,1219-business-services-and-administration-managers-not-elsewhere-classified-level-5,1219.,95196,wages_statfin,,Bachelor's degree,3-5 years,None,4538,,6,Moderate prospects,extras_csv,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
"122 Sales, marketing and development managers (Level 3)",1,122-sales-marketing-and-development-managers-level-3,122,91788,wages_statfin,,,,,13862,,,,,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1221 Sales and marketing managers (Level 4),1,1221-sales-and-marketing-managers-level-4,1221,91056,wages_statfin,,Bachelor's degree,3-5 years,None,7734,,8,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1221. Sales and marketing managers (Level 5),1,1221-sales-and-marketing-managers-level-5,1221.,91056,wages_statfin,,Bachelor's degree,3-5 years,None,7734,,8,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1222 Advertising and public relations managers (Level 4),1,1222-advertising-and-public-relations-managers-level-4,1222,90240,wages_statfin,,Bachelor's degree,3-5 years,None,1132,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1222. Advertising and public relations managers (Level 5),1,1222-advertising-and-public-relations-managers-level-5,1222.,90240,wages_statfin,,Bachelor's degree,3-5 years,None,1132,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1223 Research and development managers (Level 4),1,1223-research-and-development-managers-level-4,1223,93156,wages_statfin,,Bachelor's degree,3-5 years,None,4996,,7,Good prospects,extras_csv,,7,"This role is predominantly digital and knowledge-based, involving the creation of instructional content, data-driven needs assessments, and budget management—all areas where AI is highly capable. While the role requires significant human-centric leadership and stakeholder collaboration, AI can automate the generation of training materials, personalize learning paths, and analyze program effectiveness, substantially increasing the productivity of each manager.",
1223. Research and development managers (Level 5),1,1223-research-and-development-managers-level-5,1223.,93156,wages_statfin,,Bachelor's degree,3-5 years,None,4996,,7,Good prospects,extras_csv,,7,"This role is predominantly digital and knowledge-based, involving the creation of instructional content, data-driven needs assessments, and budget management—all areas where AI is highly capable. While the role requires significant human-centric leadership and stakeholder collaboration, AI can automate the generation of training materials, personalize learning paths, and analyze program effectiveness, substantially increasing the productivity of each manager.",
13 Production and specialised services managers (Level 2),1,13-production-and-specialised-services-managers-level-2,13,81948,wages_statfin,,,,,38478,,,,,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
"131 Production managers in agriculture, forestry and fisheries (Level 3)",1,131-production-managers-in-agriculture-forestry-and-fisheries-level-3,131,88104,wages_statfin,,,,,1226,,,,,,8,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1311 Agricultural and forestry production managers (Level 4),1,1311-agricultural-and-forestry-production-managers-level-4,1311,88104,inferred,,Bachelor's degree,2-4 years,None,1211,,8,Good prospects,extras_csv,,4,"The role involves a significant amount of physical labor, equipment maintenance, and real-time management of biological systems that cannot be digitized. However, AI will heavily impact the management side of the job, including crop yield prediction, financial planning, and automated resource allocation, making individual managers significantly more productive and contributing to further farm consolidation.",
1311. Agricultural and forestry production managers (Level 5),1,1311-agricultural-and-forestry-production-managers-level-5,1311.,,,,Bachelor's degree,2-4 years,None,1211,,8,Good prospects,extras_csv,,4,"The role involves a significant amount of physical labor, equipment maintenance, and real-time management of biological systems that cannot be digitized. However, AI will heavily impact the management side of the job, including crop yield prediction, financial planning, and automated resource allocation, making individual managers significantly more productive and contributing to further farm consolidation.",
1312 Aquaculture and fisheries production managers (Level 4),1,1312-aquaculture-and-fisheries-production-managers-level-4,1312,88104,inferred,,Bachelor's degree,2-4 years,None,15,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
1312. Aquaculture and fisheries production managers (Level 5),1,1312-aquaculture-and-fisheries-production-managers-level-5,1312.,,,,Bachelor's degree,2-4 years,None,15,,7,Good prospects,extras_csv,,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",
"132 Manufacturing, mining, construction, and distribution managers (Level 3)",1,132-manufacturing-mining-construction-and-distribution-managers-level-3,132,93012,wages_statfin,,,,,17504,,,,,,6,"This role involves a significant amount of digital knowledge work, such as logistics planning, budgeting, and supply chain optimization, which are highly susceptible to AI-driven efficiency gains. However, the core job also requires physical presence for facility inspections, safety compliance monitoring, and high-stakes interpersonal leadership in unpredictable environments like warehouses and railyards, providing a buffer against full automation.",
1321 Manufacturing managers (Level 4),1,1321-manufacturing-managers-level-4,1321,95820,wages_statfin,,Bachelor's degree,2-4 years,None,6680,,8,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1321. Manufacturing managers (Level 5),1,1321-manufacturing-managers-level-5,1321.,95820,wages_statfin,,Bachelor's degree,2-4 years,None,6680,,8,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1322 Mining managers (Level 4),1,1322-mining-managers-level-4,1322,105000,wages_statfin,,Bachelor's degree,2-4 years,None,145,,7,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1322. Mining managers (Level 5),1,1322-mining-managers-level-5,1322.,105000,wages_statfin,,Bachelor's degree,2-4 years,None,145,,7,Good prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
1323 Construction managers (Level 4),1,1323-construction-managers-level-4,1323,88332,wages_statfin,,Bachelor's degree,2-4 years,None,7302,,6,Moderate prospects,extras_csv,,5,"Construction management is a hybrid role that combines digital knowledge work—such as cost estimation, scheduling, and contract analysis—with essential physical presence. While AI can significantly automate budgeting and logistical planning, the core of the job requires real-world site inspections, physical problem-solving, and high-stakes interpersonal negotiation with tradesworkers and inspectors that cannot be replicated digitally.",
1323. Construction managers (Level 5),1,1323-construction-managers-level-5,1323.,88332,wages_statfin,,Bachelor's degree,2-4 years,None,7302,,6,Moderate prospects,extras_csv,,5,"Construction management is a hybrid role that combines digital knowledge work—such as cost estimation, scheduling, and contract analysis—with essential physical presence. While AI can significantly automate budgeting and logistical planning, the core of the job requires real-world site inspections, physical problem-solving, and high-stakes interpersonal negotiation with tradesworkers and inspectors that cannot be replicated digitally.",
"1324 Supply, distribution and related managers (Level 4)",1,1324-supply-distribution-and-related-managers-level-4,1324,92892,wages_statfin,,Bachelor's degree,2-4 years,None,3377,,6,Moderate prospects,extras_csv,,6,"This role involves a significant amount of digital knowledge work, such as logistics planning, budgeting, and supply chain optimization, which are highly susceptible to AI-driven efficiency gains. However, the core job also requires physical presence for facility inspections, safety compliance monitoring, and high-stakes interpersonal leadership in unpredictable environments like warehouses and railyards, providing a buffer against full automation.",
"1324. Supply, distribution and related managers (Level 5)",1,1324-supply-distribution-and-related-managers-level-5,1324.,92892,wages_statfin,,Bachelor's degree,2-4 years,None,3377,,6,Moderate prospects,extras_csv,,6,"This role involves a significant amount of digital knowledge work, such as logistics planning, budgeting, and supply chain optimization, which are highly susceptible to AI-driven efficiency gains. However, the core job also requires physical presence for facility inspections, safety compliance monitoring, and high-stakes interpersonal leadership in unpredictable environments like warehouses and railyards, providing a buffer against full automation.",
133 Information and communications technology service managers (Level 3),1,133-information-and-communications-technology-service-managers-level-3,133,100044,wages_statfin,,,,,4012,,,,,,7,"This occupation is predominantly digital and knowledge-based, involving strategic planning, analysis, and technical oversight that AI can significantly augment. While high-level leadership, vendor negotiation, and personnel management provide a buffer of human judgment, the core tasks of assessing IT needs, monitoring security, and directing technical workflows are highly susceptible to AI-driven productivity gains and automation.",
1330 Information and communications technology service managers (Level 4),1,1330-information-and-communications-technology-service-managers-level-4,1330,100044,wages_statfin,,Bachelor's degree,2-4 years,None,4012,,7,Good prospects,extras_csv,,7,"This occupation is predominantly digital and knowledge-based, involving strategic planning, analysis, and technical oversight that AI can significantly augment. While high-level leadership, vendor negotiation, and personnel management provide a buffer of human judgment, the core tasks of assessing IT needs, monitoring security, and directing technical workflows are highly susceptible to AI-driven productivity gains and automation.",
1330. Information and communications technology service managers (Level 5),1,1330-information-and-communications-technology-service-managers-level-5,1330.,100044,wages_statfin,,Bachelor's degree,2-4 years,None,4012,,7,Good prospects,extras_csv,,7,"This occupation is predominantly digital and knowledge-based, involving strategic planning, analysis, and technical oversight that AI can significantly augment. While high-level leadership, vendor negotiation, and personnel management provide a buffer of human judgment, the core tasks of assessing IT needs, monitoring security, and directing technical workflows are highly susceptible to AI-driven productivity gains and automation.",
134 Professional services managers (Level 3),1,134-professional-services-managers-level-3,134,71280,wages_statfin,,,,,15736,,,,,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
1341 Child care services managers (Level 4),1,1341-child-care-services-managers-level-4,1341,50196,wages_statfin,,Bachelor's degree,2-4 years,None,2812,,7,Good prospects,extras_csv,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
1341. Child care services managers (Level 5),1,1341-child-care-services-managers-level-5,1341.,50196,wages_statfin,,Bachelor's degree,2-4 years,None,2812,,7,Good prospects,extras_csv,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
1342 Health services managers (Level 4),1,1342-health-services-managers-level-4,1342,90228,wages_statfin,,Bachelor's degree,2-4 years,None,1173,,6,Moderate prospects,extras_csv,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
1342. Health services managers (Level 5),1,1342-health-services-managers-level-5,1342.,90228,wages_statfin,,Bachelor's degree,2-4 years,None,1173,,6,Moderate prospects,extras_csv,,6,"This role involves a high volume of digital knowledge work, such as budgeting, scheduling, and regulatory compliance, which are highly susceptible to AI optimization. However, the core responsibilities of recruiting, supervising staff, and navigating complex interpersonal relationships within a physical healthcare facility provide a significant buffer against full automation.",
1343 Aged care services managers (Level 4),1,1343-aged-care-services-managers-level-4,1343,51276,wages_statfin,,Bachelor's degree,2-4 years,None,650,,6,Moderate prospects,extras_csv,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
1343. Aged care services managers (Level 5),1,1343-aged-care-services-managers-level-5,1343.,51276,wages_statfin,,Bachelor's degree,2-4 years,None,650,,6,Moderate prospects,extras_csv,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
1344 Social welfare managers (Level 4),1,1344-social-welfare-managers-level-4,1344,55284,wages_statfin,,Bachelor's degree,2-4 years,None,2290,,5,Moderate prospects,extras_csv,,6,"This role involves a significant amount of digital knowledge work, such as grant writing, data analysis, and budget management, which are highly susceptible to AI augmentation. However, the core responsibilities of community stakeholder engagement, staff supervision, and navigating complex human crises provide a buffer that requires physical presence and high-level emotional intelligence.",
1344. Social welfare managers (Level 5),1,1344-social-welfare-managers-level-5,1344.,55284,wages_statfin,,Bachelor's degree,2-4 years,None,2290,,5,Moderate prospects,extras_csv,,6,"This role involves a significant amount of digital knowledge work, such as grant writing, data analysis, and budget management, which are highly susceptible to AI augmentation. However, the core responsibilities of community stakeholder engagement, staff supervision, and navigating complex human crises provide a buffer that requires physical presence and high-level emotional intelligence.",
1345 Education managers (Level 4),1,1345-education-managers-level-4,1345,77832,wages_statfin,,Bachelor's degree,2-4 years,None,3732,,5,Moderate prospects,extras_csv,,9,"This managerial occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
